,objectid,id,name,latitude,longitude
135,136,8770822,"Texas Point, Sabine Pass",29.689389,-93.841917
136,137,8770971,Rollover Pass,29.515,-94.513
137,138,8771013,"Eagle Point, Galveston Bay",29.48,-94.918306
138,139,8771341,"Galveston Bay Entrance, North Jetty",29.3573,-94.7248
139,140,8771450,Galveston Pier 21,29.31,-94.793306
140,141,8771486,Galveston Railroad Bridge,29.302583,-94.897083
141,142,8771972,San Luis Pass,29.095,-95.113306
142,143,8772471,"Freeport SPIP, Freeport Harbor",28.935699,-95.294197
143,144,8772985,Sargent,28.771417,-95.617167
144,145,8773037,Seadrift,28.4069,-96.712402
145,146,8773146,Matagorda City,28.71006,-95.914
146,147,8773259,Port Lavaca,28.6406,-96.609802
147,148,8773701,Port O'Connor,28.445861,-96.395556
148,149,8773767,Matagorda Bay Entrance Channel,28.426901,-96.330101
149,150,8774230,Aransas Wildlife Refuge,28.2283,-96.794998
150,151,8774770,Rockport,28.0217,-97.0467
151,152,8775222,Viola Turning Basin,27.846111,-97.520833
152,153,8775237,Port Aransas,27.839701,-97.072502
153,154,8775241,"Aransas, Aransas Pass",27.836599,-97.039101
154,155,8775244,Nueces Bay,27.83275,-97.485944
155,156,8775283,MODA,27.81861,-97.20894
156,157,8775296,"USS Lexington, Corpus Christi Bay",27.811694,-97.39
157,158,8775792,Packery Channel,27.633306,-97.236694
158,159,8775870,"Bob Hall Pier, Corpus Christi",27.580833,-97.216389
159,160,8776139,S. Bird Island,27.484361,-97.318111
160,161,8776604,Baffin Bay,27.297,-97.405167
161,162,8777812,Rincon Del San Jose,26.801194,-97.4706
162,163,8778490,Port Mansfield,26.557639,-97.425722
163,164,8779280,Realitos Peninsula,26.2625,-97.285278
164,165,8779748,South Padre Island CG Station,26.072472,-97.166861
165,166,8779749,SPI Brazos Santiago,26.0675,-97.154722
166,167,8779770,Port Isabel,26.061167,-97.215528
167,168,9014070,Algonac,42.621113,-82.526665
168,169,9014080,St. Clair State Police,42.812222,-82.485558
169,170,9014087,Dry Dock,42.945278,-82.443333
170,171,9014090,Mouth of the Black River,42.974724,-82.418892
171,172,9014096,Dunn Paper,43.0033,-82.4217
172,173,9014098,Fort Gratiot,43.0069,-82.4225
173,174,9034052,St Clair Shores,42.473222,-82.87925
174,175,9044020,Gibraltar,42.091694,-83.186694
175,176,9044030,Wyandotte,42.202306,-83.1475
176,177,9044036,Fort Wayne,42.2983,-83.0933
177,178,9044049,Windmill Point,42.357498,-82.93
178,179,9052000,Cape Vincent,44.13028,-76.332
179,180,9052030,Oswego,43.46417,-76.51183
180,181,9052058,Rochester,43.26903,-77.62575
181,182,9052076,Olcott,43.33839,-78.7273
182,183,9063007,Ashland Ave,43.1,-79.059917
183,184,9063009,American Falls,43.08106,-79.061361
184,185,9063012,Niagara Intake,43.076917,-79.013889
185,186,9063020,Buffalo,42.877444,-78.890472
186,187,9063028,Sturgeon Point,42.691306,-79.0473
187,188,9063038,"Erie, Lake Erie",42.1539,-80.07583
188,189,9063053,Fairport,41.75975,-81.28106
189,190,9063063,Cleveland,41.54086,-81.635472
190,191,9063079,Marblehead,41.54364,-82.73139
191,192,9063085,Toledo,41.69356,-83.47228
192,193,9063090,Fermi Power Plant,41.96,-83.257
193,194,9075002,Lakeport,43.141694,-82.493306
194,195,9075014,Harbor Beach,43.84639,-82.643059
195,196,9075035,Essexville,43.6404,-83.8468
196,197,9075065,Alpena,45.063,-83.4286
197,198,9075080,Mackinaw City,45.8,-84.721107
198,199,9075099,De Tour Village,45.9925,-83.8982
199,200,9076024,Rock Cut,46.264806,-84.191194
200,201,9076027,West Neebish Island,46.283306,-84.205
201,202,9076033,Little Rapids,46.485832,-84.301666
202,203,9076060,U.S. Slip,46.500805,-84.340363
203,204,9076070,"S.W. Pier, St. Marys River",46.501111,-84.372611
204,205,9087023,Ludington,43.947361,-86.441611
205,206,9087031,Holland,42.773333,-86.212778
206,207,9087044,Calumet Harbor,41.729721,-87.53833
207,208,9087057,Milwaukee,43.002,-87.8876
208,209,9087068,"Kewaunee, Lake Michigan",44.463972,-87.501028
209,210,9087072,Sturgeon Bay Canal,44.795583,-87.314333
210,211,9087077,Green Bay East,44.539028,-88.00106
211,212,9087088,Menominee,45.095889,-87.589944
212,213,9087096,Port Inland,45.969889,-85.8715
213,214,9099004,Point Iroquois,46.4845,-84.630889
214,215,9099018,Marquette C.G.,46.545555,-87.378609
215,216,9099044,Ontonagon,46.874443,-89.324165
216,217,9099064,Duluth,46.77575,-92.092028
217,218,9099090,"Grand Marais, Lake Superior",47.7486,-90.34128
218,219,9410170,"San Diego, San Diego Bay",32.714194,-117.173583
219,220,9410230,La Jolla,32.866889,-117.257139
220,221,9410660,Los Angeles,33.719944,-118.272861
221,222,9410840,Santa Monica,34.0083,-118.5
222,223,9411340,Santa Barbara,34.403111,-119.692806
223,224,9411406,Oil Platform Harvest,34.469167,-120.681944
224,225,9412110,Port San Luis,35.168806,-120.754194
225,226,9413450,Monterey,36.605,-121.888054
226,227,9414290,San Francisco,37.806306,-122.465889
227,228,9414523,Redwood City,37.506699,-122.209999
228,229,9414750,Alameda,37.7717,-122.3
229,230,9414863,Richmond,37.923,-122.409583
230,231,9415020,Point Reyes,37.994167,-122.973611
231,232,9415102,Martinez-Amorco Pier,38.034639,-122.125194
232,233,9415144,Port Chicago,38.056,-122.0395
233,234,9416841,Arena Cove,38.914556,-123.711083
234,235,9418767,North Spit,40.7663,-124.2172
235,236,9419750,Crescent City,41.74561,-124.18439
236,237,9431647,Port Orford,42.738972,-124.49828
237,238,9432780,Charleston,43.345,-124.322
238,239,9435380,South Beach,44.6254,-124.04494
239,240,9437540,Garibaldi,45.55453,-123.91894
240,241,9439040,Astoria,46.207306,-123.768306
241,242,9439099,Wauna,46.161667,-123.40889
242,243,9439201,St Helens,45.863306,-122.796194
243,244,9440083,Vancouver,45.631694,-122.697
244,245,9440422,Longview,46.106139,-122.954194
245,246,9440569,Skamokawa,46.270306,-123.4565
246,247,9440581,Cape Disappointment,46.281028,-124.04628
247,248,9440910,Toke Point,46.7075,-123.966944
248,249,9441102,Westport,46.90431,-124.105083
249,250,9442396,"La Push, Quillayute River",47.913,-124.63694
250,251,9443090,Neah Bay,48.370278,-124.601944
251,252,9444090,Port Angeles,48.125,-123.440002
252,253,9444900,Port Townsend,48.1129,-122.7595
253,254,9446484,Tacoma,47.27,-122.413
254,255,9447130,Seattle,47.601944,-122.339167
255,256,9449424,Cherry Point,48.8633,-122.758
256,257,9449880,Friday Harbor,48.545306,-123.012889
257,258,9450460,Ketchikan,55.331944,-131.626111
258,259,9451054,Port Alexander,56.24661,-134.64772
259,260,9451600,Sitka,57.051694,-135.342
260,261,9452210,Juneau,58.2988,-134.4106
261,262,9452400,"Skagway, Taiya Inlet",59.4508,-135.328
262,263,9452634,Elfin Cove,58.19472,-136.34694
263,264,9453220,"Yakutat, Yakutat Bay",59.548333,-139.733056
264,265,9454050,Cordova,60.5583,-145.755
265,266,9454240,Valdez,61.124194,-146.3631
266,267,9455090,Seward,60.12,-149.426667
267,268,9455500,Seldovia,59.440498,-151.719894
268,269,9455760,Nikiski,60.683333,-151.398056
269,270,9455920,Anchorage,61.2375,-149.8904
270,271,9457292,Kodiak Island,57.730278,-152.513889
271,272,9457804,Alitak,56.8974,-154.248
272,273,9459450,Sand Point,55.33172,-160.5043
273,274,9459881,King Cove,55.059889,-162.326111
274,275,9461380,Adak Island,51.863306,-176.632
275,276,9461710,Atka,52.23194,-174.1725
276,277,9462450,Nikolski,52.94061,-168.871306
277,278,9462620,Unalaska,53.879194,-166.540306
278,279,9463502,Port Moller,55.985833,-160.573611
279,280,9464212,"Village Cove, St Paul Island",57.125278,-170.285278
280,281,9468333,Unalakleet,63.871361,-160.7843
281,282,9468756,"Nome, Norton Sound",64.494611,-165.439639
282,283,9491094,Red Dog Dock,67.575806,-164.064389
283,284,9497645,Prudhoe Bay,70.411389,-148.531667
284,285,9751364,"Christiansted Harbor, St Croix",17.747694,-64.69839
285,286,9751381,"Lameshur Bay, St John",18.31825,-64.7242
286,287,9751401,Lime Tree Bay,17.6947,-64.753799
287,288,9751639,Charlotte Amalie,18.335833,-64.92
288,289,9752235,Culebra,18.300861,-65.302472
289,290,9752619,"Isabel Segunda, Vieques Island",18.1525,-65.443889
290,291,9752695,"Esperanza, Vieques Island",18.093889,-65.471389
291,292,9755371,"San Juan, La Puntilla, San Juan Bay",18.459167,-66.116389
292,293,9757809,Arecibo,18.480528,-66.702361
293,294,9759110,Magueyes Island,17.9701,-67.046402
294,295,9759394,Mayaguez,18.22,-67.16
295,296,9759938,Mona Island,18.089917,-67.9385
